Observation,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
50026,23.6,44.66333333,23.2,42.5,24.66666667,40.76,23.66666667,42.76,23.2,64.82285714,20.36666667,1,23.14285714,39.5,23.39,45.7475,22.6,43.79,17.9,758.05,56.5,4.5,40,9.15
50027,20.6,39.06666667,19.39,38.22333333,22.1,38.92666667,19.13333333,36.56,17.6,50.32666667,6,52.4,20.1,29.85666667,21.26,35.93,18.16666667,41.06,5.52,760.5166667,60.33333333,7,40,-1.7
50028,24.66666667,46.59,24.2,43.82666667,25.79,41.93333333,24.2,45.145,23.39,48.02571429,16.73,5.46,23.79,38.59,24.5,47.56,23.1,43.36333333,14.8,757.75,71.5,7,40,9.7
50029,21.2,37.09,18.39,40.2,21.39,36.5,19.79,34.9,18.29,46.7,5.226666667,58.99666667,19.6,31.1,22,42.29,19.7,40.59,4.6,761.8,88,1.5,65,2.8
50030,25,44.16333333,23.29,45.5,26.6,40.4,25.39,42.7,23.5,48.7,14.69,52.96333333,24.2,41.59,25.39,50.86857143,23.80428571,49.41428571,14.7,751.9333333,97,1,20.33333333,14.3
50031,21.79,39.7,20.95666667,41.1,23.025,37.7225,21.79,38.29,19.82333333,47.86,10.16666667,33.86333333,20.89,37.79,22.5,43.4,20.1,41.69714286,8.3,762.1,90,3,26,6.7
50032,21.6,42.23,22.7,39.33333333,22.89,38.59,23.56666667,40.5,20.39,44.79,16.33333333,27.95666667,20.79,36.2,22,41.4,20.73,42.26666667,12.3,754.55,72,2,27,7.25
50033,25.29,48.7,24.2,48.09,26.14285714,45.07714286,25.6,45.925,24.2,63.76666667,15.4,50.92428571,24.87,43.678,26.42666667,50.76666667,23.79,48.4,17.1,745.55,79,4,40,13.4
50034,20.89,37.29,19.26,36.96666667,20.5,37.09,19.7,35.2,19.39,67.88285714,1.166666667,64.69,18.73,34.69333333,20.6,42.86333333,17.7,38.5,1.95,750.8,82,2.5,21,-0.85
50035,21.7,39.28333333,20,38.36857143,20.6875,37.8,21.07142857,34.56428571,17.945,44.94375,7.07875,53.8075,20.39,29.28,22.08571429,37.01285714,18.7,41.23857143,6.85,749.2666667,67,3.666666667,40,1.13
50036,20.76,35.4,17.63333333,38.82666667,22.1,36.06,19.7,33.59,19.06666667,46.06,2.7,53.56666667,19.7,29.79,22.1,40.5,19.39,39.9,2.77,750.0333333,89,5.333333333,27,1.13
50037,20.2,38.29,18.26,39.66333333,21,40.2,18.7,39.09,18.7,59.37388889,2.163333333,87.59333333,19.1,34.7,22,45.29,18.6,43.09,1.52,738.5833333,88,2,30.66666667,-0.317
50038,22.46333333,43.96666667,20.6,44.29,23.2,40.5,22.7,41.16333333,21.04,45.834,9.563333333,40.4,21.79,36.7,23.39,42.83125,20.79,42.43333333,11.5,751.35,75.5,5,40,7.2
50039,23.79,42.62333333,23.5,39.82,24.39,43.09,21.26,43.62333333,21.16,76.82722222,7.623333333,64.46,19.2,34.93888889,22.6,45.56055556,18.89,41.09,7.73,742.8333333,69.66666667,11,24.33333333,2.5
50040,20.5,43.32666667,19.5,43.09,20.29,44.36333333,18.23,45.03,18.29,47.7,11.8,77.92333333,18.63888889,39.93333333,19.51666667,45.89833333,17,48.9,12.9,762.2,55.5,5,40,4.2
50041,21.1,39.59,19.29,41.82666667,21.89,37.79,21,36.7,19.29,47,11.5,23.76333333,20.2,34.73,21.7,40.4,19.39,38.79,9.02,756.7333333,64.33333333,4,57.66666667,2.52
50042,23.5,35.59,21.53333333,36.26,23.7,36.23,22.79,33.9,20.5,42.16333333,9.1,26.23333333,22.6,36.29,23.2,42.65666667,21,39.27714286,10.4,757.3,74.5,2,40,6.1
50043,21,44.09,20.2,43.76,21.7,44.2,19.7,43.93333333,18.90833333,62.17722222,7.9,95.8,18.89,39.79,21.5,53.085,19.06666667,48.76,9.3,738.6,78,10,24,5.6
50044,21.29,38.93333333,18.6,42.79666667,22.1,37.7,19.79,39.16333333,19.6,48.29,3.766666667,67.33333333,20.1,33.53,23,44,20.03333333,39.83333333,2.53,760.3333333,96.33333333,1,37.66666667,2
50045,21.6,39,21,38.09,22.5,38.12666667,21.5,38.56666667,20.1,45.06,14.06666667,14.03,20.85666667,32.06,24.29,38.65666667,20.39,37.7,11.2,753.2833333,61.16666667,4,40,3.93
50046,19.7,36.46333333,17.89,37.66333333,20.89,36,18.2,36.66333333,17.14285714,43.22571429,5.4,69.72666667,18,30.92666667,19.6,37.99,17.6,37.6,6.13,757.2833333,72.33333333,9,40,1.42
50047,22.5,34.7,19.82333333,36.9,23.5,37.03,22.5,32.9,20.79,41.9,4.69,27.36666667,22.2,34.5,23.7,41.378,20.5,39.36333333,5.93,763.3,74.33333333,2.666666667,40,1.7
50048,23.2,39.03,20.1,41.79,23.5,37.59,20.6,40.73,19.76,47.73,2.145,64.90333333,20.79,34.86333333,23.37333333,41.01611111,19.7,39.5,1.75,759.2,95.33333333,1,23.33333333,1.02
50049,21.1,36.43333333,18.5,39.59,20.13333333,36.5,19.79,34.76,18.82333333,43.3,3.03,54.86,20.1,29.7,22.2,39.83333333,18.5,39.5,5.17,766.6,84.66666667,2,47,2.73
50050,20.2,39.12666667,18.39,40.06,20.7,38.43333333,21.125,37.47,18.29,44.6,3.53,81.76333333,18.2,32.9,20.29,42.12666667,18.23,41.16333333,3.7,744.25,93.16666667,5,29,2.63
50051,23.63333333,35.99,21.6,35.4,22.79,35.09,21.6,36.49,20.1,40.66333333,14.13,1,19.5,26.96333333,23.2,36.46333333,19.6,36.79,13.4,765.5,39.33333333,4,40,-0.1
50052,22.35666667,36.9,19.7,39.45,22.92666667,36.79,19.6,38.2,19.1,43.4,6.5,52.02666667,19.2,34.2,21.7,47.26,19,40.09,6.57,756.65,95.83333333,2,27.5,5.95
50053,21.6,40.12666667,21,39.16333333,21.39,41.66333333,18.82333333,42.53,17.1,53.5,5.263333333,91.03333333,17.39,38,17.92666667,44.82666667,17.13333333,45.62666667,5.47,747.4666667,82.33333333,6,40,2.67
50054,22.1,42.43333333,20.7,43.32666667,23.6,38.29,21.2,41.4,20.6,45.65666667,14.89,22.43,21.29,37.5,23.29,40.76666667,20.89,42.16333333,11.2,750.8,78.66666667,3.666666667,40,7.67
50055,22.29,43.06,21,42.2,21.88375,44.51625,21.7,40.62666667,19.02222222,54.33888889,5.333333333,89.26333333,18.97555556,34.715,21.40833333,43.55666667,18.6,45.83333333,5,761,83.5,6,40,2.4
50056,21,43.4,19.7,44.29,21.89,42.09,20.03333333,44.53,18.1,54.16857143,10.19,92.5,18.2,41.7,20.89,55.4,18.1,46.2,10.1,756.2666667,94.66666667,8,44,9.33
50057,21.39,41.36333333,18.39,46.76,20.79,38.5,21.16666667,37.2,18.745,47.5,4.123333333,69.15666667,20.7,29.82333333,22.73,42.49,19.6,38.59,4.38,764.5,92.66666667,3,55.66666667,3.23
50058,17.39,37.16333333,16.39,37.12666667,17.79,37.2,16.29,36.4,16.1,51.71,1.2,96.69,16.2,31.2,20.13333333,41.10222222,15.5,35.7,0.133,760.6333333,89.5,2,52.16666667,-1.35
50059,21.7,38.56,20,39.36333333,21.32333333,38,21.89,37,19.39,44.5,2.7,79.9,19.22571429,35.46571429,21.46333333,40.09,17.89,37.23,2.07,757.2333333,93.33333333,1,56.66666667,1.03
50060,21.39,40.53,19.63333333,43.52666667,23.56666667,40.36666667,20.1,40.79666667,20.2,71.33333333,13.36,46.46333333,20.7,38.52666667,22.2,41.76,19.89,41.82666667,11.7,755.0166667,71.5,9.833333333,40,6.67
50061,21.6,38.8175,19.73,39.36333333,20.92666667,39.06666667,20.85666667,38.16333333,19.32333333,43,-1.23,78.59,19.29,31.03,21.89,39.19333333,18,38.62666667,-0.6,767.9333333,91.16666667,2,38.16666667,-1.88
50062,19.7,38,17.2,40.96666667,21,37.53,19.26,36.26,18.03333333,42.93333333,-0.866666667,78.03,18.39,36.2,20,45.2,17.5,39.76,-0.517,755.6,99.83333333,1.166666667,15,-0.533
50063,21,44.2,20.1,43.845,21.7,44.29,19.7,44.06,18.89,61.95,7.83,95.73,18.89,39.79,21.5,53.09,19.1,48.9,9.07,738.5333333,79,9.666666667,25.33333333,5.57
50064,21.79,38.53,19.79,41.36,22.79,37.2,20.23,38.9,20.42666667,65.36333333,9.537777778,45.125,20.79,33.56,23.2,43.045,20.39,39.73,7.52,750.3833333,75.16666667,7.833333333,40,3.43
50065,21.5,39.09,19.79,39.4,21.29,38.06,21.76,36.46666667,19.39,44.22571429,2.59,80.3,19.236,35.856,21.29,40.79666667,17.89,37.76,1.97,757.15,94.66666667,1.166666667,52.66666667,1.13
50066,22.1,37.03,21,36.7,22.2,36.2,21.46333333,35.22333333,19.23,46.02666667,12.03,18.62666667,19.7,32.53,22.26,37.72333333,19.79,39.66333333,10.7,755.9333333,60.16666667,4.833333333,40,3.2
50067,20.39,40.32666667,17.2,46.02666667,20.7,38.16333333,19.92666667,36.2,18.39,47.16333333,2.663333333,70.33333333,20.13333333,30.06666667,21.85666667,40.62333333,19.6,39.59,2.5,764.7,92,4,59,1.3
50068,22.5,39.2,19.89,40.79,24.89,36.93333333,22.29,35.59,20.89,54.12666667,7.09,55.23,21.5,32.79,23.39,46.4,20.5,40.26,7.38,756.9166667,88.66666667,4.166666667,27.83333333,5.63
50069,22.29,38.93,21.89,36.96666667,22.46333333,37.59,21,36.2,20.1,44.14,16.934,1.06,22.6,32.2,23.79,35.96666667,20.5,35.7,14.2,749,48,7.5,40,3.2
50070,21.7,37.5,19.85666667,38.56,20.6,38.59,22.63333333,36.9,19.05,52.145,-1.2,82.0925,19.7,35.29,22.35666667,41.46333333,18.05714286,37.92857143,0.367,755.8,87.5,2,20.16666667,-1.55
50071,21.6,38.9,20.1,39.66333333,21,38.2,21.46333333,37.06,19.03333333,46.02666667,1.356666667,73.06333333,19.5,29.29,21.89,36.5,18.1,39.09,0.5,766.3,88,2,40,-1.3
50072,20.53333333,38.16333333,19.1,37.7,21.89,36.9,18.79,35.9,17.29,45,7.833333333,70.73,18.82333333,31.2,20.04,37.9,17.79,41.4,7,760.5,68.66666667,4.333333333,40,1.53
50073,22.29,47.7,20.39,48.83333333,24.26,41.43,21.2,39.76666667,20.52714286,66.29571429,11.19,16.86,21.72571429,32.89714286,23.934,38.634,20.6,40.59,9.77,753.2,74,2.333333333,40,5.33
50074,19,36.9,16.79,39.4,19.6,38.5675,18.39,36.46666667,17.23,55.43333333,1.2,77.12333333,17.65,31.945,20.46333333,43.9,17.675,41.47,0.217,747.3666667,99,1.833333333,20.83333333,0.117
50075,20.39,36.9,17.29,40.79,20.2,36.9,19.5,34.9,18.7,41.66333333,1.5,67.1,19.7,30.82333333,21.6,44.73,18.5,40.23,1.77,766.5333333,89.33333333,2,39.66666667,0.167
50076,21.6,34.4,20.16666667,34.79,20.35666667,35.29,20.29,35,17.39,46.29,6.366666667,25.06,22.32333333,29.73,22.79,35.4,18.5,39.7,5.97,757.6333333,50.33333333,8.833333333,40,-3.8
50077,20.89,32.29,19.2,32.79,20.2,34.26,20.73,33.2,17.79,46.15666667,10.13,24.02333333,22,27.79,22.79,33.4,18.6,39.09,9.27,764.7833333,57.16666667,5,65,1.18
50078,22.1,37.59,20.5,37.93333333,21.5,38.56,19.1,38.06,20.235,86.05722222,3,86.43333333,19.50555556,31.06111111,23.77,39.26888889,18.6,38.09,2.2,741.3,84,1.666666667,40,-0.267
50079,23,41.23,22.2,40.29,21.79,42.86333333,21.73,43.33333333,20.07222222,59.79277778,2.76,91.69,20.16111111,37.78222222,23.29,44.36944444,18.5,40.7,2.9,748.7333333,96.66666667,2,50.66666667,2.43
50080,21.23,35.43333333,18.2,38.82666667,20.29,36.9,19.89,34.09,18.79,52.96666667,2.69,58.85,21.6,32.76,23.39,38.845,19.29,38.46666667,2.7,769.1833333,86.5,2.666666667,63.83333333,0.667
50081,22.1,41.7,20.35666667,43.66333333,23.32333333,39.23,22,39.9,20.73,45.5,12.434,38.874,21.1,36.46666667,21.6,40.95428571,20.5,39.76,10.5,751.55,83.5,2.666666667,40,7.73
50082,22,46.16666667,21.6,44,21.90833333,44.7,20.06666667,48.7,18.67222222,57.61777778,10.5,92.22666667,18.5,44.38777778,20.1,50.58,18.6,48.82666667,9.8,762.1,90,6,40,8.2
50083,24.1,40.03,22.6,40.79,25.79,38.9,24.06666667,38.4,22.29,49.5,14.39,28.62857143,23.89,41.4,24.42666667,44.4,22.7,46,13.4,751.65,81.66666667,1,29,10.3
50084,18.7,38,16.7,40.2,20.29,38.2,17.39,37.26,17.76,53,2.59,76,18.1,32.5,20.35666667,43.29,18,41.79,2.75,745.55,92,7,34,1.6
50085,22.1,39.82666667,20.56666667,39.59,20.46333333,39.76,21.2,39.7,19.7675,72.5175,-4.565,88.56833333,20.39,36.156,21.79,42.696,17.7,37.95,-2.38,764.0333333,83.5,2,28.33333333,-4.9
50086,21.46333333,39,19.42666667,39.79,21,39.32666667,21.42666667,38.66333333,19.26,42.96666667,-1.263333333,80.42333333,19.2,31.5,21.79,40.06666667,18,39.03,-0.6,768.4666667,91.83333333,2,30.83333333,-1.82
50087,21.575,39.795,19.76,36.22333333,21.39,34.9,20.29,34.49,19,40.23,6.09,40.6,19.66666667,28.39,22.745,39.5,19.1,32.7,7.65,754,62,3,40,0.75
50088,25.1,39.7,22.7,41.4,25.39,34.05428571,25.17142857,39.22571429,23.89,49.86333333,9.13,32.09666667,24.89,36.5,25.89,43.245,23.89,44.834,9.43,753.3833333,85,4,22,7.02
50089,20.79,36.12666667,19.29,36.03,21.06666667,36.16333333,19.79,34.23,18.11428571,43.95571429,8.396666667,35.26666667,18.7,28.39,19.7,35.62666667,18,37.79666667,5.67,752.3833333,49.16666667,2,40,-4.18
50090,21.66666667,46.39333333,20.79,45.2,21.6,43.79,22.2,44.5,18.6,57.99857143,11.8,80.85714286,18.29,44.79,22.29,49.73,18.39,46.79,11.6,754.8,85,10.5,40,9.15
50091,21.53333333,37.93333333,18.76,39.9,21.1,37.96666667,20.7,33.79,18.39,51.5,2.03,57.5,19.7,33.86333333,21.865,40.0225,18.13333333,40,1.95,763,84.83333333,1,60.16666667,-0.367
50092,20.79,43.26,18.89,46.26,21.6,39.79,19.6,42.62666667,19.23,46.53,11.83,65.22666667,20,38.7,21.26,44.46666667,19.5,42.79,11.9,751.7166667,92.16666667,3,27.33333333,10.6
50093,19.85666667,38.53,17.89,38.5,20.1,36.62666667,18.7,34.26333333,17.5,48.06,6.563333333,78.5,18.5,28.85666667,20.29,36.52666667,17.7,36.86333333,5.5,757.0666667,68.66666667,3,40,0.133
50094,22.1,38.25,21.13333333,35.59666667,22.32333333,40.63333333,21.7,38.56,18.1,49.16333333,0.4,96.4,19.7,37.76,20.39,45.36333333,18,41.16333333,2.4,765.6,76,2,29,-1.5
50095,19.89,35.83333333,18.13333333,36.83333333,20.29,34.86333333,19.39,33,17.7,43.03,3.633333333,75.92333333,18.89,28.5,20.39,36.93333333,18.2,38.59,2.5,759.55,84,6,63,0
50096,19.79,45.96666667,19.2,45.09,19.79,44.9,18.79,46.79,17.6,55.7,9.763333333,96.1,18,45.5,17.75,50.035,17.2,49.09,9.78,757.3166667,87.66666667,10,28.33333333,7.8
50097,19.73,44,18.92666667,44.26,20.1,44.09,17.53333333,46.63333333,17.86777778,49.47222222,7.4,99.9,16.35666667,42.97222222,17.78,49.35722222,16.5,49.2,9.18,763.55,82.16666667,3.166666667,40,6.13
50098,23.1,28.29333333,25,22.72333333,22.96333333,32.19333333,22.7,29.1,21.06666667,40.99,19.06666667,1,22.2,25.7,23.62857143,34.29,20.85666667,34.86333333,17.3,761.4333333,31.33333333,4,30,0.1
50099,21.79,38.59,19.92666667,41.36333333,22.85666667,37.26,20.2,38.79,20.5,61.42333333,10.12222222,42.66388889,20.79,33.56,23.2,43.09,20.46333333,39.69333333,7.73,750.4666667,75.33333333,7.666666667,40,3.67
50100,25.5,42.7,25.5,39.12666667,26.6,38.79,25.7,41.46333333,23.7,53.32333333,20.1,4.797142857,24.2,39.12666667,25.30428571,45.45714286,23.6,42.4,21.1,752.2333333,52.33333333,2.333333333,40,10.8
50101,21.1,43.93333333,20.26,43.66333333,21.7,44,19.89,43.79,19,63.10222222,7.56,95.59,18.89,39.59,21.6,53.59944444,19.1,48.5,7.9,738.7,91,7,40,6.5
50102,25.39,39.53,23.42666667,40.5,25.89,34.59,25.29,39.7,24,50.32666667,9.763333333,33.56666667,25,36.7,26.12857143,43.7,23.75142857,43.41,10.7,752.3833333,81.66666667,7.833333333,22.83333333,7.58
50103,23.2,34.2,24.42666667,29.29,23.1,33.76,23.26,33.09,20.6,46.96666667,17.5,1,21.84714286,29.51428571,23.73,35.76,20.5,36.98,15.5,766.2,36,3,40,0.5
50104,21.89,36.46666667,18.79,39.62666667,22.96333333,36.15666667,21.89,33.59,20.5,45.63333333,2.26,45.62333333,21.29,34.52428571,22.79,40.19333333,20.29,39.22,1.87,766.6333333,94,1,35.66666667,1.03
50105,21.89,42.76,21.1,42.46666667,20.7,44.5,17.69666667,47.23333333,19.43277778,48.21,8,99.9,16.05,44.545,18.98777778,50.09,15.8,48.5,7.97,767.7,95.33333333,3,63,7.3
50106,19.79,38.7,18.89,39.03,19.2,39.09,18.6,37.33333333,17.82333333,54.23333333,-6,82.31555556,17.5,32.06,20.29,42.76666667,16.39,39.29,-4.42,758.75,93.5,1,60.33333333,-5.38
50107,21.89,40.22333333,20.96333333,39.4,21.2,43.5,18.1,42.29,18.1,54.36333333,2.433333333,90.02666667,18.5,43.16333333,19.16666667,49.16333333,17.42666667,47.56666667,3.2,752.4666667,76.66666667,8.666666667,40,-0.5
50108,22.89,42.36333333,22.03333333,40.76666667,23.39,39.7,23,38.7,20.7,45.46666667,15.09,12.49666667,21.43714286,34.95714286,24.1,42.02,20.7,41.12666667,15,752.25,59.66666667,2.833333333,40,7.05
50109,21.5,37.5,18.39,41.7,22.2,37,19.7,36.7,19.29,45.86333333,4.433333333,68.62333333,19.29,32.4,22.79,44.29,19.66666667,40.96666667,4.6,760.9,97,1,52,4.2
50110,19.85666667,35.46666667,19.29,34.7,20.1,35.62666667,19.42666667,33.73,17.39,47,3.76,38.93333333,19.5,31.5,20.6,38.2,18.1,39.56,3.8,757.3,58.66666667,9,26,-3.7
50111,21.29,41.59,18.6,44.59,23,39.59,21,39.5,20.46333333,52.56,4.9,51.55,21.1,37.56428571,22.1,39.7,20.56666667,42.76,6.15,751.7,86.5,5,27,4
50112,20.03333333,39.53,19,38.5,22.29,37.69333333,19.6,35.79,18.29,42.2,1.133333333,87.2,18.42666667,29.7,20.2,37.23,17.89,37.59,2.1,772.2666667,81.66666667,2.666666667,56,-0.9
50113,21.79,38.9,19.1,41.73,22.46333333,38.96666667,20.2,39.4,19.73,49,4.33,63.03,20.2,34.09,23.6,46.53,20.1,42.7,4.9,758.1,92,3,64,3.7
50114,22.2,40.29,20,41.76,22.79,38.5,21.29,39.26,20.1,47.36,9.19,47.16,21.1,33.03,24.7225,41.7925,20.29,38.16333333,9.4,750.35,76,5.5,40,5.35
50115,24.89,38.62666667,24.32333333,36.96666667,25.32333333,37.5,24.39,37.26,22.79,68.65666667,15.48,8.17,23.7,36.4,25.22571429,42.23571429,22.39,39.79,18.4,751.55,60.33333333,1,40,10.5
50116,21.03333333,38.09,18.92666667,38.96666667,20.89,39.59,19.2,39.36333333,19.39,66.78555556,0.5,86.36666667,19.32333333,34.4,22.7,44.93944444,18.5,41.5,-0.1,740.6333333,91.66666667,2,22.33333333,-1.27
50117,22.6,32.96666667,25.39,26.59666667,22.76,32.66333333,23.1,32.36333333,20.6,48.395,16.66333333,1,21.2,30.39,23,36.65666667,20.5,37.09,14.4,766.6833333,44.16666667,2.833333333,40,2.33
50118,21.29,38.2,21.86,37.72333333,21.85666667,36.56,21.66666667,35.96666667,19,46.4,8.1,39.92333333,19.56666667,34.46666667,21.39,40.12666667,19.7,38.36333333,8.47,758,66.66666667,2,28.66666667,2.6
50119,20.16666667,39.15666667,19.26,37.96666667,20.865,37.8725,19.2,36.79,17.6,51.4,5.35,56.55,19.79,30.445,21.1,36.7,18,39,5,759.6,62.33333333,7,40,-1.63
50120,21.1,47.56666667,19.79,47.46666667,22.865,43.15,20.29,44.29,18.39,53.86,10.92142857,83.41142857,18.5,42.79,20.7,48.2,18.7,46.736,10.4,751.6333333,89,7.333333333,32.66666667,8.67
50121,22.26,38.76,20.92666667,38.86333333,23.1,36.59,22.736,35.4,20.39,43.43333333,11.39666667,14.46,21.6,32.92857143,22,39.62666667,20.5,38.44,8.77,759.9,76.66666667,3,36.33333333,4.87
50122,20.96333333,35.5,17.79,39.2,21.1,35.26,20.6,33.4,18.6,52.5,4.3,67.03333333,19.79,28.89,21.39,36.43333333,19.56666667,35.79,3.3,763.6,93,2,37.5,2.25
50123,21.89,47.33333333,21.39,45.29,22.39,45.5,21.26,48.86333333,19.5,55.79,8.945,99.59,18.7,45.10333333,20.10555556,51.52944444,18.2,50.4,8.45,756.8,95,5.5,62.5,7.7
50124,22.23,35.73,19.79,37.96666667,22.1,35.06,20.96333333,34.6,18.6,43.4,6.19,44.43333333,19.2,29.66333333,22.6,34.83333333,19.2,34.76,5.4,762.5,82,3.5,24.5,2.5
50125,21.2,39,18.6,42.59,21.79,37.2,20,38.2,19.32333333,45.4,7.19,58.2,20.1,33.73,21.5,39.5,19.7,37.7,6.8,758.3333333,87.33333333,1,20.66666667,4.8
50126,23.7,43.66333333,22.456,42.79,24.39,40,23.79,41.93,21.1,51.516,11.23333333,40.16666667,23.03333333,41.16333333,24.84714286,45.03714286,22.33,40.79,12.1,748.4,92,4.5,28,10.8
50127,21,37.32666667,18.7,38.85,21.16666667,36.9,21.35666667,35.06666667,18.1,64.56666667,0.033333333,77.8,18.29,32.82666667,20.76,38.93333333,17.5,35.76,0.567,753.2666667,96,1.833333333,28.16666667,-0.0167
50128,20.7,35.9,18.96333333,36.5,20.1,37.754,18.5,36.5,17.1,45.4,1.29,81.19,17.5,31.6,20.1,43.59,17.5,39.5,0.4,758.45,99,1.5,17.5,0.25
